2024-06-11 19:17:27 - Dispositivo: 1, Secuencia: 33, Aforo: 1
2024-06-11 19:17:30 - Dispositivo: 1, Secuencia: 34, Aforo: 2
2024-06-11 19:17:37 - Dispositivo: 1, Secuencia: 35, Aforo: 2
2024-06-11 19:18:37 - Dispositivo: 1, Secuencia: 36, Aforo: 2
2024-06-11 19:19:37 - Dispositivo: 1, Secuencia: 37, Aforo: 2
2024-06-11 19:21:39 - Dispositivo: 1, Secuencia: 39, Aforo: 2
2024-06-11 19:22:31 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:22:54 - Dispositivo: 1, Secuencia: 3, Aforo: 0
2024-06-11 19:22:58 - Dispositivo: 1, Secuencia: 4, Aforo: 0
2024-06-11 19:23:58 - Dispositivo: 1, Secuencia: 5, Aforo: 0
2024-06-11 19:24:58 - Dispositivo: 1, Secuencia: 6, Aforo: 1
2024-06-11 19:25:40 - Dispositivo: 1, Secuencia: 7, Aforo: 0
2024-06-11 19:26:09 - Dispositivo: 1, Secuencia: 8, Aforo: 0
2024-06-11 19:26:22 - Dispositivo: 1, Secuencia: 9, Aforo: 0
2024-06-11 19:26:51 - Dispositivo: 1, Secuencia: 10, Aforo: 0
2024-06-11 19:26:56 - Dispositivo: 1, Secuencia: 11, Aforo: 1
2024-06-11 19:27:19 - Dispositivo: 1, Secuencia: 12, Aforo: 1
2024-06-11 19:28:19 - Dispositivo: 1, Secuencia: 13, Aforo: 1
2024-06-11 19:29:19 - Dispositivo: 1, Secuencia: 14, Aforo: 1
2024-06-11 19:30:19 - Dispositivo: 1, Secuencia: 15, Aforo: 1
2024-06-11 19:31:19 - Dispositivo: 1, Secuencia: 16, Aforo: 2
2024-06-11 19:31:48 - Dispositivo: 1, Secuencia: 17, Aforo: 1
2024-06-11 19:31:59 - Dispositivo: 1, Secuencia: 18, Aforo: 0
2024-06-11 19:32:01 - Dispositivo: 1, Secuencia: 19, Aforo: 1
2024-06-11 19:32:33 - Dispositivo: 1, Secuencia: 20, Aforo: 1
2024-06-11 19:33:33 - Dispositivo: 1, Secuencia: 21, Aforo: 0
2024-06-11 19:33:36 - Dispositivo: 1, Secuencia: 22, Aforo: 1
2024-06-11 19:34:09 - Dispositivo: 1, Secuencia: 23, Aforo: 0
2024-06-11 19:34:38 - Dispositivo: 1, Secuencia: 24, Aforo: 1
2024-06-11 19:34:47 - Dispositivo: 1, Secuencia: 25, Aforo: 2
2024-06-11 19:37:17 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:37:48 - Dispositivo: 1, Secuencia: 2, Aforo: 2
2024-06-11 19:37:51 - Dispositivo: 1, Secuencia: 3, Aforo: 1
2024-06-11 19:38:24 - Dispositivo: 1, Secuencia: 4, Aforo: 0
2024-06-11 19:38:34 - Dispositivo: 1, Secuencia: 2, Aforo: 0
2024-06-11 19:38:56 - Dispositivo: 1, Secuencia: 3, Aforo: 1
2024-06-11 19:38:59 - Dispositivo: 1, Secuencia: 4, Aforo: 0
2024-06-11 19:39:02 - Dispositivo: 1, Secuencia: 5, Aforo: 1
2024-06-11 19:39:04 - Dispositivo: 1, Secuencia: 6, Aforo: 2
2024-06-11 19:39:09 - Dispositivo: 1, Secuencia: 7, Aforo: 1
2024-06-11 19:39:12 - Dispositivo: 1, Secuencia: 8, Aforo: 2
2024-06-11 19:39:36 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:39:50 - Dispositivo: 1, Secuencia: 3, Aforo: 2
2024-06-11 19:39:52 - Dispositivo: 1, Secuencia: 4, Aforo: 1
2024-06-11 19:40:04 - Dispositivo: 1, Secuencia: 5, Aforo: 2
2024-06-11 19:40:09 - Dispositivo: 1, Secuencia: 6, Aforo: 1
2024-06-11 19:40:22 - Dispositivo: 1, Secuencia: 7, Aforo: 0
2024-06-11 19:40:34 - Dispositivo: 1, Secuencia: 2, Aforo: 0
2024-06-11 19:40:38 - Dispositivo: 1, Secuencia: 3, Aforo: 1
2024-06-11 19:40:41 - Dispositivo: 1, Secuencia: 4, Aforo: 0
2024-06-11 19:40:43 - Dispositivo: 1, Secuencia: 5, Aforo: 1
2024-06-11 19:40:45 - Dispositivo: 1, Secuencia: 6, Aforo: 0
2024-06-11 19:41:15 - Dispositivo: 1, Secuencia: 7, Aforo: 1
2024-06-11 19:42:04 - Dispositivo: 1, Secuencia: 8, Aforo: 0
2024-06-11 19:42:10 - Dispositivo: 1, Secuencia: 9, Aforo: 0
2024-06-11 19:42:42 - Dispositivo: 1, Secuencia: 10, Aforo: 0
2024-06-11 19:43:29 - Dispositivo: 1, Secuencia: 11, Aforo: 1
2024-06-11 19:43:42 - Dispositivo: 1, Secuencia: 12, Aforo: 0
2024-06-11 19:43:43 - Dispositivo: 1, Secuencia: 13, Aforo: 1
2024-06-11 19:43:44 - Dispositivo: 1, Secuencia: 14, Aforo: 2
2024-06-11 19:43:50 - Dispositivo: 1, Secuencia: 15, Aforo: 1
2024-06-11 19:44:13 - Dispositivo: 1, Secuencia: 16, Aforo: 2
2024-06-11 19:44:20 - Dispositivo: 1, Secuencia: 17, Aforo: 1
2024-06-11 19:44:22 - Dispositivo: 1, Secuencia: 18, Aforo: 2
2024-06-11 19:44:24 - Dispositivo: 1, Secuencia: 19, Aforo: 1
2024-06-11 19:44:26 - Dispositivo: 1, Secuencia: 20, Aforo: 0
2024-06-11 19:45:24 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:45:46 - Dispositivo: 1, Secuencia: 3, Aforo: 0
2024-06-11 19:46:03 - Dispositivo: 1, Secuencia: 6, Aforo: 0
2024-06-11 19:46:04 - Dispositivo: 1, Secuencia: 7, Aforo: 0
2024-06-11 19:46:06 - Dispositivo: 1, Secuencia: 8, Aforo: 0
2024-06-11 19:46:17 - Dispositivo: 1, Secuencia: 2, Aforo: 0
2024-06-11 19:46:25 - Dispositivo: 1, Secuencia: 3, Aforo: 0
2024-06-11 19:46:29 - Dispositivo: 1, Secuencia: 4, Aforo: 0
2024-06-11 19:46:31 - Dispositivo: 1, Secuencia: 5, Aforo: 0
2024-06-11 19:46:33 - Dispositivo: 1, Secuencia: 6, Aforo: 0
2024-06-11 19:46:37 - Dispositivo: 1, Secuencia: 7, Aforo: 0
2024-06-11 19:46:39 - Dispositivo: 1, Secuencia: 8, Aforo: 0
2024-06-11 19:46:41 - Dispositivo: 1, Secuencia: 9, Aforo: 0
2024-06-11 19:46:44 - Dispositivo: 1, Secuencia: 10, Aforo: 0
2024-06-11 19:46:48 - Dispositivo: 1, Secuencia: 11, Aforo: 0
2024-06-11 19:46:51 - Dispositivo: 1, Secuencia: 12, Aforo: 0
2024-06-11 19:47:07 - Dispositivo: 1, Secuencia: 2, Aforo: 1
2024-06-11 19:47:12 - Dispositivo: 1, Secuencia: 3, Aforo: 0
2024-06-11 19:47:32 - Dispositivo: 1, Secuencia: 4, Aforo: 1
2024-06-11 19:47:34 - Dispositivo: 1, Secuencia: 5, Aforo: 0
2024-06-11 19:47:37 - Dispositivo: 1, Secuencia: 6, Aforo: 1
2024-06-11 19:47:41 - Dispositivo: 1, Secuencia: 7, Aforo: 0
2024-06-11 19:47:43 - Dispositivo: 1, Secuencia: 8, Aforo: 1
2024-06-11 19:47:45 - Dispositivo: 1, Secuencia: 9, Aforo: 0
2024-06-11 19:47:47 - Dispositivo: 1, Secuencia: 10, Aforo: 1
2024-06-11 19:47:50 - Dispositivo: 1, Secuencia: 11, Aforo: 0
2024-06-11 19:47:52 - Dispositivo: 1, Secuencia: 12, Aforo: 1
2024-06-11 19:47:56 - Dispositivo: 1, Secuencia: 13, Aforo: 0
2024-06-11 19:47:59 - Dispositivo: 1, Secuencia: 14, Aforo: 0
2024-06-11 19:48:05 - Dispositivo: 1, Secuencia: 15, Aforo: 1
2024-06-11 19:48:09 - Dispositivo: 1, Secuencia: 16, Aforo: 0
2024-06-11 19:48:11 - Dispositivo: 1, Secuencia: 17, Aforo: 1
2024-06-11 19:48:14 - Dispositivo: 1, Secuencia: 18, Aforo: 0
2024-06-11 19:48:32 - Dispositivo: 1, Secuencia: 19, Aforo: 1
2024-06-11 19:48:36 - Dispositivo: 1, Secuencia: 20, Aforo: 0
2024-06-11 19:48:47 - Dispositivo: 1, Secuencia: 21, Aforo: 1
2024-06-11 19:48:49 - Dispositivo: 1, Secuencia: 22, Aforo: 0
2024-06-11 19:48:52 - Dispositivo: 1, Secuencia: 23, Aforo: 1
2024-06-11 19:48:55 - Dispositivo: 1, Secuencia: 24, Aforo: 0
2024-06-11 19:48:57 - Dispositivo: 1, Secuencia: 25, Aforo: 1
2024-06-11 19:49:01 - Dispositivo: 1, Secuencia: 26, Aforo: 0
2024-06-11 19:49:04 - Dispositivo: 1, Secuencia: 27, Aforo: 1
2024-06-11 19:49:06 - Dispositivo: 1, Secuencia: 28, Aforo: 0
2024-06-11 19:49:09 - Dispositivo: 1, Secuencia: 29, Aforo: 1
2024-06-11 19:49:11 - Dispositivo: 1, Secuencia: 30, Aforo: 0
2024-06-11 19:49:14 - Dispositivo: 1, Secuencia: 31, Aforo: 1
2024-06-11 19:49:16 - Dispositivo: 1, Secuencia: 32, Aforo: 0
2024-06-11 19:49:36 - Dispositivo: 1, Secuencia: 33, Aforo: 1
2024-06-11 19:49:40 - Dispositivo: 1, Secuencia: 34, Aforo: 0
2024-06-11 19:49:48 - Dispositivo: 1, Secuencia: 35, Aforo: 1
2024-06-11 19:49:50 - Dispositivo: 1, Secuencia: 36, Aforo: 2
2024-06-11 19:50:01 - Dispositivo: 1, Secuencia: 37, Aforo: 1
2024-06-11 19:50:09 - Dispositivo: 1, Secuencia: 38, Aforo: 0
2024-06-11 19:50:19 - Dispositivo: 1, Secuencia: 39, Aforo: 1
2024-06-11 19:50:23 - Dispositivo: 1, Secuencia: 40, Aforo: 0
2024-06-11 19:50:26 - Dispositivo: 1, Secuencia: 41, Aforo: 1
2024-06-11 19:51:05 - Dispositivo: 1, Secuencia: 42, Aforo: 0
2024-06-11 19:51:23 - Dispositivo: 1, Secuencia: 43, Aforo: 1
2024-06-11 19:51:26 - Dispositivo: 1, Secuencia: 44, Aforo: 0
2024-06-11 19:51:36 - Dispositivo: 1, Secuencia: 45, Aforo: 1
2024-06-11 19:51:39 - Dispositivo: 1, Secuencia: 46, Aforo: 0
2024-06-11 19:51:42 - Dispositivo: 1, Secuencia: 47, Aforo: 1
2024-06-11 19:51:45 - Dispositivo: 1, Secuencia: 48, Aforo: 0
2024-06-11 19:51:51 - Dispositivo: 1, Secuencia: 49, Aforo: 1
2024-06-11 19:51:57 - Dispositivo: 1, Secuencia: 50, Aforo: 0
2024-06-11 19:52:00 - Dispositivo: 1, Secuencia: 51, Aforo: 1
2024-06-11 19:52:02 - Dispositivo: 1, Secuencia: 52, Aforo: 0
2024-06-11 19:52:26 - Dispositivo: 1, Secuencia: 53, Aforo: 1
2024-06-11 19:52:28 - Dispositivo: 1, Secuencia: 54, Aforo: 0
2024-06-11 19:52:33 - Dispositivo: 1, Secuencia: 55, Aforo: 1
2024-06-11 19:52:36 - Dispositivo: 1, Secuencia: 56, Aforo: 0
2024-06-11 19:52:40 - Dispositivo: 1, Secuencia: 57, Aforo: 1
2024-06-11 19:52:45 - Dispositivo: 1, Secuencia: 58, Aforo: 0
2024-06-11 19:52:59 - Dispositivo: 1, Secuencia: 59, Aforo: 1
2024-06-11 19:53:02 - Dispositivo: 1, Secuencia: 60, Aforo: 0
2024-06-11 19:53:20 - Dispositivo: 1, Secuencia: 61, Aforo: 1
2024-06-11 19:53:33 - Dispositivo: 1, Secuencia: 62, Aforo: 0
2024-06-11 19:53:47 - Dispositivo: 1, Secuencia: 63, Aforo: 0
2024-06-11 19:54:47 - Dispositivo: 1, Secuencia: 64, Aforo: 0
2024-06-11 19:55:47 - Dispositivo: 1, Secuencia: 65, Aforo: 1
2024-06-11 19:56:20 - Dispositivo: 1, Secuencia: 66, Aforo: 2
2024-06-11 19:56:31 - Dispositivo: 1, Secuencia: 67, Aforo: 1
2024-06-11 19:57:25 - Dispositivo: 1, Secuencia: 68, Aforo: 0
2024-06-11 19:57:39 - Dispositivo: 1, Secuencia: 69, Aforo: 1
2024-06-11 19:57:55 - Dispositivo: 1, Secuencia: 70, Aforo: 2
2024-06-11 19:57:59 - Dispositivo: 1, Secuencia: 71, Aforo: 2
2024-06-11 19:58:59 - Dispositivo: 1, Secuencia: 72, Aforo: 2
2024-06-11 19:59:59 - Dispositivo: 1, Secuencia: 73, Aforo: 2
2024-06-11 20:00:59 - Dispositivo: 1, Secuencia: 74, Aforo: 2
2024-06-11 20:01:59 - Dispositivo: 1, Secuencia: 75, Aforo: 1
2024-06-11 20:02:17 - Dispositivo: 1, Secuencia: 76, Aforo: 0
2024-06-11 20:02:20 - Dispositivo: 1, Secuencia: 77, Aforo: 1
